loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s)
2017-11-24 14:37:27.598 -0800,1,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.5119899167,-0.2050628662109375,0.2476806640625,-0.9735870361328125,139652.4808919167,-0.04483564853202902,-0.0424960615143944,0.1001028990538984
2017-11-24 14:37:27.614 -0800,2,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.5450099167,-0.2106781005859375,0.2514495849609375,-0.9642486572265625,139652.5139729167,-0.1311513626225872,-0.1208633050155021,0.1280969831683753
2017-11-24 14:37:27.649 -0800,3,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.5781209167,-0.206787109375,0.254150390625,-0.981719970703125,139652.5470239167,-0.09727435566012525,0.02556954225806878,0.07164649017418373
2017-11-24 14:37:27.681 -0800,4,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.6111409167,-0.2071380615234375,0.25372314453125,-0.9637908935546875,139652.5801049167,-0.009983658294489049,-0.01052854105351926,-0.0384965261893134
2017-11-24 14:37:27.722 -0800,5,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.6442529167,-0.1825714111328125,0.252105712890625,-0.94970703125,139652.6131549167,-0.008475243853068167,0.0966208159286198,-0.03182903608419102
2017-11-24 14:37:27.747 -0800,6,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.6772729167,-0.1924896240234375,0.2549896240234375,-0.944610595703125,139652.6462359167,0.06376033755424108,0.177123648307862,-0.04837951699459746
2017-11-24 14:37:27.781 -0800,7,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.7103839167,-0.2026519775390625,0.2511749267578125,-0.933624267578125,139652.6792869167,0.1060947451904677,0.02092765247806067,0.03710742136472808
2017-11-24 14:37:27.813 -0800,8,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.7434039167,-0.1975250244140625,0.2560272216796875,-0.9270172119140625,139652.7123679167,0.05234736070270651,0.06237709168405393,0.06918306616586044
2017-11-24 14:37:27.847 -0800,9,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.7765159167,-0.208526611328125,0.2561187744140625,-0.9207611083984375,139652.7454179167,0.08645925847331346,0.06671218530648491,-0.03865471795806411
2017-11-24 14:37:27.883 -0800,10,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.8095659167,-0.201751708984375,0.2509613037109375,-0.9170989990234375,139652.7785299167,0.07262147344926174,0.03704963076907335,-0.04855368772988864
2017-11-24 14:37:27.913 -0800,11,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.8426469167,-0.20086669921875,0.254547119140625,-0.9227142333984375,139652.8115499167,-0.043255328741176,0.04370407138485435,-0.06875909092031982
2017-11-24 14:37:27.945 -0800,12,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.8756979167,-0.21014404296875,0.2601776123046875,-0.9325714111328125,139652.8446619167,-0.1118754026525937,-0.0590454771603648,-0.07984689580275572
2017-11-24 14:37:27.979 -0800,13,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.9087789167,-0.20684814453125,0.274444580078125,-0.9413299560546875,139652.8776819167,-0.1545634780815828,-0.03243730207716512,-0.07206354120089013
2017-11-24 14:37:28.012 -0800,14,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.9418299167,-0.1950836181640625,0.2653350830078125,-0.9433135986328125,139652.9107929167,-0.07064008159824278,-0.01878007937502077,-0.1045120285546336
2017-11-24 14:37:28.047 -0800,15,C4D50155-580C-4885-BACB-A13DEF47355A,1511563046.994387,49.27910391965051,-122.9164458305918,346.3683,0.2053574,175.0346214068973,3,16,-9999,139652.9749109167,-0.2030792236328125,0.2792816162109375,-0.9490203857421875,139652.9438129167,-0.02556528120032465,0.006594519491254209,-0.1110623395717925
