loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s)
2017-11-24 14:35:44.768 -0800,1,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.6958687917,0.819976806640625,0.4490203857421875,-0.3237152099609375,139549.6698067917,-0.0133831834259752,0.02560789177776592,-0.07356822721678491
2017-11-24 14:35:44.798 -0800,2,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.7259287917,0.8269195556640625,0.4314117431640625,-0.3330535888671875,139549.6998667917,0.09796784280798188,0.0943286331783886,-0.07453495469248367
2017-11-24 14:35:44.828 -0800,3,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.7559877917,0.8146209716796875,0.434906005859375,-0.3211822509765625,139549.7299257917,0.1000658811147463,0.08362991613121327,-0.02028263486204348
2017-11-24 14:35:44.859 -0800,4,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.7860477917,0.8133087158203125,0.4367523193359375,-0.3135223388671875,139549.7599857917,0.06619766258388161,0.09857504353651994,-0.03044419231734982
2017-11-24 14:35:44.889 -0800,5,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.8161077917,0.8301544189453125,0.44158935546875,-0.351287841796875,139549.7900457917,-0.02983326316328564,0.1656036123805063,-0.01185053421863459
2017-11-24 14:35:44.922 -0800,6,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.8461677917,0.826416015625,0.44708251953125,-0.37750244140625,139549.8201057917,-0.1714479193926852,0.1107062749340489,0.01305108723804231
2017-11-24 14:35:44.949 -0800,7,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.8762277917,0.8140869140625,0.4493255615234375,-0.3671722412109375,139549.8501657917,-0.1862289960748429,-0.0006934871478566336,0.02952540174127248
2017-11-24 14:35:44.979 -0800,8,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.9062867917,0.8227691650390625,0.44537353515625,-0.3641815185546875,139549.8802247917,-0.06226337470550755,-0.01367959325530102,0.01583249268052107
2017-11-24 14:35:45.009 -0800,9,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.9363467917,0.82135009765625,0.4351959228515625,-0.3672943115234375,139549.9102847917,0.06488898522421667,0.001961418142843359,0.01077568240267861
2017-11-24 14:35:45.039 -0800,10,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.9664067917,0.8219146728515625,0.4413604736328125,-0.35076904296875,139549.9403447917,0.08312018709857211,-0.05330663132735305,0.0460753500194609
2017-11-24 14:35:45.069 -0800,11,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139549.9964667917,0.832916259765625,0.4381561279296875,-0.334320068359375,139549.9704047917,0.06706345625426637,-0.09145561499441111,0.03824192798910183
2017-11-24 14:35:45.099 -0800,12,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139550.0265267917,0.8191680908203125,0.4389801025390625,-0.3295135498046875,139550.0004647917,0.04872626056852578,-0.05643211718267005,0.05819433087597548
2017-11-24 14:35:45.129 -0800,13,C4D50155-580C-4885-BACB-A13DEF47355A,1511562943.993005,49.27919561046645,-122.9165715997204,345.3528,0.4025351,220.8208491495912,3,16,-9999,139550.0565867917,0.8231353759765625,0.4560089111328125,-0.331695556640625,139550.0305247917,-0.02099769361472975,-0.04570144220241378,0.08032892796006007
2017-11-24 14:35:45.165 -0800,14,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.0866457917,0.80853271484375,0.47198486328125,-0.31817626953125,139550.0605837917,-0.07319565098028283,-0.07209310228899002,0.06866534764994903
2017-11-24 14:35:45.189 -0800,15,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.1167057917,0.8126983642578125,0.4704132080078125,-0.3227691650390625,139550.0906437917,-0.0611222101784086,-0.04231150445085191,0.004085821744399567
2017-11-24 14:35:45.219 -0800,16,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.1467657917,0.8291015625,0.457733154296875,-0.32000732421875,139550.1207037917,-0.0172317175172487,-0.01579760527024103,-0.05140540062514549
2017-11-24 14:35:45.251 -0800,17,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.1768257917,0.8534088134765625,0.4474334716796875,-0.3323974609375,139550.1507637917,0.05237851968746044,0.04133918433686398,-0.04891747553479346
2017-11-24 14:35:45.279 -0800,18,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.2068682917,0.88653564453125,0.4502716064453125,-0.341156005859375,139550.1808062917,0.01797527209359883,0.05200035081266919,-0.03251133795546932
2017-11-24 14:35:45.311 -0800,19,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.2369272917,0.906005859375,0.46295166015625,-0.3504638671875,139550.2108652917,-0.106778911274509,0.03204741529357752,0.01299303032627859
2017-11-24 14:35:45.340 -0800,20,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.2669872917,0.9426116943359375,0.4983367919921875,-0.375335693359375,139550.2409252917,-0.2356801690920883,0.0386275537149453,0.05954828197417177
2017-11-24 14:35:45.369 -0800,21,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.2970472917,0.9546051025390625,0.49273681640625,-0.3409881591796875,139550.2709852917,-0.251567256574956,-0.06844510422779948,0.02390027288680711
2017-11-24 14:35:45.405 -0800,22,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.3271072917,0.9634552001953125,0.4384307861328125,-0.3171234130859375,139550.3010452917,-0.05460146024934958,-0.01155998334370695,0.006407565582730647
2017-11-24 14:35:45.430 -0800,23,C4D50155-580C-4885-BACB-A13DEF47355A,1511562944.992983,49.27919904834273,-122.9165731234083,345.3726,0.0605009,219.344025647251,3,16,-9999,139550.3571672917,1.029342651367188,0.4012298583984375,-0.3761749267578125,139550.3311052917,0.1160800013816108,0.2224439921582855,0.07287420743671026
