loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientation(Z),batteryState(R),batteryLevel(Z),state(N)
2017-11-27 14:31:39.807 -0800,1,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821899.762145,-10.51125335693359,-27.47745704650879,-50.88889312744141,192.5129089355469,176.2655487060547,20,264203.8464861667,-0.1657562255859375,-0.2733612060546875,-0.99676513671875,264203.8464861667,-0.3578138019475582,0.1518337379642516,-0.1275278656434254,264203.8414281667,1.63011694318387,-0.1888471456906249,0.1859760335213126,-0.4769257605075836,0.1225284337997437,-0.06946121156215668,-0.01703330874443054,-0.08331316709518433,0.03678667545318604,XArbitraryCorrectedZVertical,0.1317180842161179,0.00289272959344089,0.7153893709182739,0.6861888766288757,-0.184489518404007,-0.1849058270454407,-0.9652839303016663,-10.52800750732422,-27.30388069152832,-51.23674011230469,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:39.812 -0800,2,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821899.762145,-10.51125335693359,-27.47745704650879,-50.88889312744141,192.5129089355469,176.2655487060547,20,264203.8804070417,-0.198272705078125,-0.2358245849609375,-1.008316040039062,264203.8804070417,0.2681957681053018,0.2335560318066411,-0.08794237288437859,264203.8414281667,1.63011694318387,-0.1888471456906249,0.1859760335213126,-0.4769257605075836,0.1225284337997437,-0.06946121156215668,-0.01703330874443054,-0.08331316709518433,0.03678667545318604,XArbitraryCorrectedZVertical,0.1317180842161179,0.00289272959344089,0.7153893709182739,0.6861888766288757,-0.184489518404007,-0.1849058270454407,-0.9652839303016663,-10.52800750732422,-27.30388069152832,-51.23674011230469,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:39.844 -0800,3,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821899.812292,-10.10187911987305,-26.87712669372559,-50.95717620849609,192.9395599365234,176.6921997070312,20,264203.9143280417,-0.223175048828125,-0.244232177734375,-0.9278106689453125,264203.9143280417,0.4838598847604635,0.2363145340637452,-0.1318549697825862,264203.8766570417,1.624486318971821,-0.1817751332836262,0.1811661027058949,0.1166518107056618,0.223984956741333,-0.1198399215936661,-0.01662555336952209,-0.05354216694831848,-0.04343616962432861,XArbitraryCorrectedZVertical,0.12757608294487,0.003210525261238217,0.7142248749732971,0.6881800889968872,-0.1778171807527542,-0.1801767200231552,-0.9674280881881714,-10.10187911987305,-26.87712669372559,-50.95717620849609,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:39.882 -0800,4,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821899.86285,-9.381797790527344,-28.04669761657715,-50.7503776550293,193.0340118408203,176.7866516113281,20,264203.9470570417,-0.22711181640625,-0.2547760009765625,-0.9336700439453125,264203.9470570417,0.5659374442922696,0.2783232370986551,-0.2653299404562675,264203.9118280417,1.62364426484637,-0.1734171894978426,0.1938369631074185,0.4378281235694885,0.2280780673027039,-0.1095914095640182,-0.0649656355381012,-0.05420075356960297,0.04008609056472778,XArbitraryCorrectedZVertical,0.1288799643516541,0.01062853820621967,0.7136573791503906,0.6884512305259705,-0.1693178117275238,-0.1926254034042358,-0.9665539860725403,-9.501338958740234,-27.69549751281738,-51.00083923339844,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:39.936 -0800,5,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821899.912787,-8.159439086914062,-29.60360145568848,-50.22911834716797,193.6114044189453,177.3640441894531,20,264203.9809780417,-0.212799072265625,-0.2900390625,-0.904693603515625,264203.9809780417,0.2688485088884802,0.2743322238890623,-0.3582345813997907,264203.9470570417,1.620778508870704,-0.1634534966031828,0.2136400783304595,0.5804621577262878,0.2856098115444183,-0.2337670177221298,-0.06536863744258881,-0.04467998445034027,0.03063064813613892,XArbitraryCorrectedZVertical,0.1320497244596481,0.02104843966662884,0.7120221257209778,0.6893036365509033,-0.1590271145105362,-0.2120186239480972,-0.9642396569252014,-8.858760833740234,-28.69543647766113,-50.62753295898438,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:39.943 -0800,6,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821899.912787,-8.159439086914062,-29.60360145568848,-50.22911834716797,193.6114044189453,177.3640441894531,20,264204.0149000417,-0.2086029052734375,-0.2823333740234375,-0.870208740234375,264204.0149000417,-0.1466269917170377,0.2128941628053703,-0.374244440608911,264203.9822280417,1.612480750700183,-0.1520897987636368,0.2303674273790894,0.2960898578166962,0.2783634960651398,-0.3417250514030457,-0.06670112907886505,-0.06075775623321533,0.05826067924499512,XArbitraryCorrectedZVertical,0.1337908655405045,0.0304635651409626,0.7087916731834412,0.6919404268264771,-0.1475017517805099,-0.2283352613449097,-0.9623439311981201,-8.159439086914062,-29.60360145568848,-50.22911834716797,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:39.983 -0800,7,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821899.963186,-7.210109710693359,-29.57729148864746,-50.32635498046875,194.6814575195312,178.4340972900391,20,264204.0476280417,-0.1943206787109375,-0.2462921142578125,-0.9714202880859375,264204.0476280417,-0.2104365977514452,-0.2297945830830132,-0.5458649328402334,264204.0174570417,1.600520087421347,-0.1399598781189199,0.235334165259785,-0.1163168251514435,0.2367013841867447,-0.3556845486164093,-0.0764847993850708,-0.04142922163009644,0.07636123895645142,XArbitraryCorrectedZVertical,0.1313938945531845,0.0356641411781311,0.70511394739151,0.6958975791931152,-0.1356581598520279,-0.2331679463386536,-0.9629274010658264,-7.429126739501953,-29.59094429016113,-50.09294891357422,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:40.018 -0800,8,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821900.013566,-6.838237762451172,-29.33862113952637,-50.43760681152344,196.5404663085938,180.2931060791016,20,264204.0815500417,-0.2169036865234375,-0.247406005859375,-0.9344482421875,264204.0815500417,0.1739797866410235,0.1425425015531831,-0.8385711040380793,264204.0526280417,1.582958551225089,-0.1371427521387938,0.229965748659223,-0.2108577340841293,-0.2280258983373642,-0.5356465578079224,-0.05997055768966675,-0.01795122027397156,-0.003684043884277344,XArbitraryCorrectedZVertical,0.1288631856441498,0.03359072655439377,0.6995106339454651,0.7021013498306274,-0.1331141442060471,-0.2279441803693771,-0.9645318984985352,-7.069400787353516,-29.4499454498291,-50.24980926513672,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264200.746601,0,-1.273621,97.77431,1,1,0.75,0
2017-11-27 14:31:40.043 -0800,9,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821900.013566,-6.838237762451172,-29.33862113952637,-50.43760681152344,196.5404663085938,180.2931060791016,20,264204.1154710417,-0.169708251953125,-0.3139801025390625,-0.965667724609375,264204.1154710417,0.6429712430355746,0.4951514214662904,-0.7960835646391732,264204.0878570417,1.557241123243923,-0.1339491895355316,0.2328099042758353,0.1957364976406097,0.1652359366416931,-0.8317583203315735,-0.09377828240394592,-0.01533545553684235,0.02990323305130005,XArbitraryCorrectedZVertical,0.1291774213314056,0.03406392782926559,0.6904481649398804,0.7109360694885254,-0.1299460828304291,-0.2307125329971313,-0.9643056988716125,-6.442897796630859,-29.68769645690918,-50.49496459960938,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
2017-11-27 14:31:40.099 -0800,10,BF2B89E4-20AD-4334-A98B-17808832B17C,my_iOS_device,1511821894.063919,49.27724914302564,-122.9073493985784,343.5746,-1,-1,10,65,-9999,1511821900.063787,-4.702808380126953,-31.09816551208496,-49.83370590209961,198.7622680664062,182.5149078369141,20,264204.1482000417,-0.1037445068359375,-0.332275390625,-0.98944091796875,264204.1482000417,0.8805968513039658,0.2376604956786712,-0.8272912852410488,264204.1230280417,1.529662026099532,-0.1141239813401579,0.2541229182163441,0.6627142429351807,0.5112426280975342,-0.7742252945899963,-0.04209407418966293,-0.06531482934951782,-0.005804121494293213,XArbitraryCorrectedZVertical,0.1304504424333572,0.04678411781787872,0.6805011034011841,0.7195196151733398,-0.1102191582322121,-0.2513965964317322,-0.9615878462791443,-5.111663818359375,-30.66011619567871,-49.88085556030273,2,264202.4721594167,walking,1,2017-11-27 14:31:38.398 -0800,2017-11-27 14:29:53.937 -0800,30,16.15,0,0,2017-11-27 14:31:35.827 -0800,264201.690873,0,-1.257751,97.77415,1,1,0.75,0
