loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z)
2017-11-27 14:31:48.209 -0800,1,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.177588625,-0.225189208984375,0.193206787109375,-0.709442138671875,225619.178565625,0.2660468634217168,-0.04094769965662234,0.02502519213125659,225619.166541625,-3.064433008359457,-0.1792175416002905,-0.1761713213212533,-0.07400040328502655,-0.02734658122062683,-0.08363909274339676,0.009851172566413879,0.01147560775279999,0.05452293157577515,XArbitraryCorrectedZVertical,0.09245514869689941,-0.08411546796560287,0.9910838007926941,-0.04613314568996429,-0.1755005717277527,0.175261452794075,-0.9687532782554626,-23.69235229492188,9.477867126464844,-56.30532836914062,2
2017-11-27 14:31:48.274 -0800,2,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.207648625,-0.164276123046875,0.1518402099609375,-1.0931396484375,225619.178565625,0.2660468634217168,-0.04094769965662234,0.02502519213125659,225619.201636625,-3.063583948136339,-0.1818645179944818,-0.1714300982819304,-0.1004697903990746,-0.0942482203245163,-0.002397711388766766,0.00618492066860199,0.07498328387737274,-0.08463448286056519,XArbitraryCorrectedZVertical,0.09372938424348831,-0.08166366815567017,0.9911540150642395,-0.04645882174372673,-0.178212508559227,0.1705916523933411,-0.9690917134284973,-23.98983955383301,9.260898590087891,-56.3052978515625,2
2017-11-27 14:31:48.307 -0800,3,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.237708625,-0.1661376953125,0.192962646484375,-0.9255828857421875,225619.208625625,-0.3608356908364711,-0.07663672142477421,-0.0111080449067205,225619.236670625,-3.06728737194165,-0.1843499777878176,-0.1823501637380591,-0.2487458735704422,-0.01315404288470745,-0.09215234220027924,0.01625163853168488,0.01127041876316071,0.03743547201156616,XArbitraryCorrectedZVertical,0.0949665755033493,-0.08719508349895477,0.9906227588653564,-0.04520749673247337,-0.1802683621644974,0.1813412755727768,-0.9667567610740662,-24.10693359375,9.715553283691406,-56.14447021484375,2
2017-11-27 14:31:48.309 -0800,4,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.267768625,-0.1959686279296875,0.17138671875,-0.9772491455078125,225619.238685625,-0.1440879339337561,0.001547562909445045,-0.1079475063608358,225619.236670625,-3.06728737194165,-0.1843499777878176,-0.1823501637380591,-0.2487458735704422,-0.01315404288470745,-0.09215234220027924,0.01625163853168488,0.01127041876316071,0.03743547201156616,XArbitraryCorrectedZVertical,0.0949665755033493,-0.08719508349895477,0.9906227588653564,-0.04520749673247337,-0.1802683621644974,0.1813412755727768,-0.9667567610740662,-24.10693359375,9.715553283691406,-56.14447021484375,2
2017-11-27 14:31:48.310 -0800,5,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.297828625,-0.19781494140625,0.1752166748046875,-0.980865478515625,225619.298804625,-0.03640967315912731,0.04249286572108631,0.01857288544221261,225619.271766625,-3.070930223536175,-0.1848066068758424,-0.1820178557204894,0.05325372517108917,0.02437163889408112,-0.08435169607400894,-0.01546140015125275,-0.008605390787124634,-0.00670093297958374,XArbitraryCorrectedZVertical,0.09502937644720078,-0.08719331026077271,0.9906972050666809,-0.04340828582644463,-0.1807208508253098,0.1810144633054733,-0.9667335152626038,-24.23154067993164,9.870769500732422,-56.27557373046875,2
2017-11-27 14:31:48.313 -0800,6,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.327887625,-0.173065185546875,0.1808319091796875,-0.9437255859375,225619.298804625,-0.03640967315912731,0.04249286572108631,0.01857288544221261,225619.306830625,-3.071916676543803,-0.1841346854037757,-0.1819672000069804,-0.0161282941699028,0.03707574680447578,0.03138304874300957,-0.01287446916103363,0.002705410122871399,0.004705548286437988,XArbitraryCorrectedZVertical,0.09465283900499344,-0.08722946792840958,0.9907528162002563,-0.0428881011903286,-0.1800729185342789,0.1809646487236023,-0.9668636918067932,-24.04584503173828,9.722991943359375,-56.00686645507812,2
2017-11-27 14:31:48.346 -0800,7,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.357947625,-0.1570281982421875,0.175567626953125,-0.9670562744140625,225619.328864625,0.01416428857369544,0.04869270473879077,0.05355510425705745,225619.341926625,-3.070017139393883,-0.1824746368038905,-0.1816879739909186,0.02638031542301178,0.02000534720718861,0.03531888127326965,0.01935814321041107,-0.0008041560649871826,0.01776337623596191,XArbitraryCorrectedZVertical,0.09390947967767715,-0.08703745156526566,0.9908031821250916,-0.0437445305287838,-0.1784767955541611,0.1806900203227997,-0.9672110080718994,-24.01791763305664,9.935390472412109,-56.31454467773438,2
2017-11-27 14:31:48.374 -0800,8,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.388007625,-0.180999755859375,0.1817779541015625,-0.97747802734375,225619.358924625,-0.01791774781405311,-0.03706241394230574,-0.02169091444647738,225619.376960625,-3.070541393237993,-0.1837748024139517,-0.1815090748810082,-0.0133498627692461,-0.05622368305921555,-0.02728594094514847,0.004172459244728088,-0.0009486228227615356,-0.008286118507385254,XArbitraryCorrectedZVertical,0.09452833980321884,-0.08694509416818619,0.9907618165016174,-0.04353352636098862,-0.1797400861978531,0.1805140674114227,-0.9670099020004272,-23.9736385345459,9.925769805908203,-56.14901733398438,2
2017-11-27 14:31:48.404 -0800,9,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.418067625,-0.1748046875,0.17462158203125,-0.97900390625,225619.388984625,-0.02411226050957742,-0.02536581043467772,-0.02922180137700345,225619.412055625,-3.071580962318619,-0.1848464995123181,-0.1815402668663286,0.005099471658468246,0.01270549744367599,-0.02465060912072659,0.006001114845275879,-0.004137873649597168,-0.01278781890869141,XArbitraryCorrectedZVertical,0.09501443803310394,-0.08698660880327225,0.9907321333885193,-0.04306653514504433,-0.1807752847671509,0.1805447489023209,-0.9668111801147461,-24.10594177246094,9.681354522705078,-56.25677490234375,2
2017-11-27 14:31:48.435 -0800,10,C4D50155-580C-4885-BACB-A13DEF47355A,1511821903.817409,49.27720285123593,-122.9074262199566,342.9971,-1,-1,10,65,-9999,225619.448127625,-0.18890380859375,0.1800537109375,-0.9649810791015625,225619.419043625,-0.003345462961357539,0.05417029446886575,-0.03290015947462089,225619.447089625,-3.072724840566752,-0.183264675832142,-0.1806723794051969,0.03004609420895576,0.05616430938243866,-0.03365654125809669,-0.009324401617050171,0.0001032650470733643,0.001398801803588867,XArbitraryCorrectedZVertical,0.09416981041431427,-0.08664429932832718,0.9908718466758728,-0.04239286109805107,-0.1792742311954498,0.1796910464763641,-0.9672496318817139,-24.04762268066406,9.567703247070312,-56.22293090820312,2
